;Таблицы;
KAR_OPR;ОПЕРАЦИИ ДВИЖЕНИЯ ОРУЖИЯ;10
REZ_OPER;РЕЗУЛЬТАТ ОПЕРАЦИИ ДВИЖЕНИЯ;10
S_EXPLOS;СПРАВОЧНИК ВВ;10
AMM_TXT;ОПИСАНИЕ ВВ, ВУ;10
AMM_OKR;ОКРАСКА ВВ, ВУ;10
REESTR;РЕЕСТР ЛИЦЕНЗИЙ;10
S_REESTR;СПРАВОЧНИК ТИПОВ РЕЕСТРА;10
S_PR_RE;СПРАВОЧНИК ПРИЧИН ВНЕС. РЕЕСТР;10
REES_TXT;ПРИМЕЧАНИЕ К РЕЕСТРУ;10
DOC_DOP;ДОПОЛНЕНИЕ К ДОКУМЕНТУ;100
ORG_DOP;ДОПОЛНЕНИЕ К ОРГАНИЗАЦИИ;100
S_DOPDST;ДОП.ОСНОВАНИЯ ДОСТАВЛЕНИЯ;0
S_TPREQ;СПРАВОЧНИК ТИПОВ ЗАПРОСОВ;0
TO_GRAJD;ДОПОЛНЕНИЕ К ГРАЖДАНСТВУ;100
TAB_RTS;ПРАВА ПОЛЬЗОВАТЕЛЕЙ НА ТАБЛИЦЫ;0
S_REQ;СПРАВОЧНИК ВИДОВ ЗАПРОСОВ;100
ADRESSAT;АДРЕСАТ ЗАПРОСА;100
IVS_ADV;ПОСЕЩЕНИЯ АДВОКАТОВ ИВС/СИЗО;3
IVS_MOV;ПЕРЕДВИЖЕНИЯ ПО ИВС/СИЗО;3
IVS_SOTR;ПОСЕЩЕНИЯ СОТРУДНИКОВ ИВС/СИЗО;3
IVS_STAT;СТАТУС ВОДВОРЕННОГО В ИВС/СИЗО;3
S_VIZIT;СПРАВОЧНИК ТИПОВ ПОСЕЩЕНИЙ;100
MRGTABS;ВЫДЕЛЯЕМЫЕ,ИСКЛЮЧАЕМЫЕ ТАБЛИЦЫ;0
MAP_UL;СПИСОК УЛИЦ MAPMASTER;100
MAP_OBJ;СПИСОК ОБЪЕКТОВ MAPMASTER;10
KARTA_MP;КАРТА MAPMASTER;100
A_OB_OB;ОТОЖДЕСТВЛ. ОБЪЕКТЫ MAPMASTER;100
A_UL_UL;ОТОЖДЕСТВЛ. УЛИЦЫ MAPMASTER;100
SO_IVS;СПИСОК ИВС/СИЗО;100
S_DOLGN;СЛОВАРЬ ДОЛЖНОСТЕЙ;100
S_UPR;СПРАВОЧНИК ОРГАНОВ УПРАВЛЕНИЯ;100
S_SOBST;СПРАВОЧНИК ФОРМ СОБСТВЕННОСТИ;100
S_ACTIV;ОКВЭД;100
OR_ACTIV;ВИДЫ ЭКОН. ДЕЯТ-ТИ ОРГАНИЗАЦИЙ;100
GROUPING;ГРУППИРОВКА ЗАПИСЕЙ;100
GR_DOC;ГРУППЫ ТИПОВ ДОКУМЕНТОВ;100
S_DOHOD;СПРАВОЧНИК ВИДОВ ДОХОДОВ ЛИЦ;100
LC_DOHOD;ДОХОД ЛИЦА;100
LC_VIEZD;ВЫЕЗДЫ ЛИЦА ЗА ПРЕДЕЛЫ РФ;100
S_SN_UCH;ОСНОВАНИЯ СНЯТИЯ С УЧЕТА;100
SB_STAT;СТАТИСТИКА ПО СОБЫТИЮ;10
CONTR_TO;КОНТРОЛЬ ДОКУМЕНТОВ В ТО;100
GR_OSN;ГРУППЫ ПРАВОВЫХ ОСНОВАНИЙ;100
UTR_ZP;УТРАТА ЗАГРАНПАСПОРТА;100
OBJ_PIL;СООТВ.ОБЪЕКТОВ ПИЛИГР. ЛЕГЕНДЕ;0
S_PSNYAT;ПРИЧИНЫ ИЗЪЯТИЯ;100
SO_OTDEL;МЕСТНЫЕ ОТДЕЛЫ ПОДРАЗДЕЛЕНИЙ;100
ADM_NARK;НАРКОТИКИ ПО АДМПРОТОКОЛАМ;10
GR_GOS;ГРУППЫ ГОСУДАРСТВ;100
